Channel              :,CH2
Frequency            :,  ?
Period               :,  ?
PK-PK                :,82.00mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,20.00000us

index,CH2_Voltage(mV)
1724,208.000000
1725,200.000000
1726,208.000000
1727,216.000000
1728,168.000000
1729,184.000000
1730,196.000000
1731,188.000000
1732,204.000000
1733,196.000000
1734,240.000000
1735,204.000000
1736,176.000000
1737,216.000000
1738,204.000000
1739,192.000000
1740,236.000000
1741,232.000000
1742,228.000000
1743,220.000000
1744,196.000000
1745,192.000000
1746,176.000000
1747,184.000000
1748,184.000000
1749,196.000000
1750,204.000000
1751,168.000000
1752,224.000000
1753,208.000000
1754,204.000000
1755,208.000000
1756,216.000000
1757,228.000000
1758,212.000000
1759,208.000000
1760,204.000000
1761,192.000000
1762,184.000000
1763,184.000000
1764,208.000000
1765,196.000000
1766,208.000000
1767,168.000000
1768,180.000000
1769,188.000000
1770,212.000000
1771,176.000000
1772,208.000000
1773,200.000000
1774,204.000000
1775,212.000000
1776,200.000000
1777,168.000000
1778,200.000000
1779,236.000000
1780,200.000000
1781,168.000000
1782,192.000000
1783,232.000000
1784,188.000000
1785,180.000000
1786,180.000000
1787,184.000000
1788,180.000000
1789,188.000000
1790,216.000000
1791,224.000000
1792,224.000000
1793,188.000000
1794,168.000000
1795,204.000000
1796,176.000000
1797,192.000000
1798,204.000000
1799,196.000000
1800,188.000000
1801,216.000000
1802,204.000000
1803,196.000000
1804,216.000000
1805,224.000000
1806,164.000000
1807,212.000000
1808,180.000000
1809,180.000000
1810,208.000000
